,0
239,0.0
250,0.0623556581986143
263,0.0808314087759815
145,0.0808314087759815
12,0.0831408775981523
309,0.0854503464203233
282,0.0854503464203233
11,0.0854503464203233
343,0.092378752886836
54,0.0946882217090069
209,0.0969976905311778
50,0.1016166281755196
84,0.1016166281755196
103,0.1039260969976905
131,0.1039260969976905
198,0.1062355658198613
21,0.1062355658198613
32,0.1085450346420323
56,0.113163972286374
42,0.113163972286374
105,0.1177829099307159
102,0.1177829099307159
26,0.1224018475750576
98,0.1270207852193995
270,0.1270207852193995
14,0.1293302540415704
279,0.1339491916859122
53,0.1362586605080831
186,0.1385681293302539
330,0.1385681293302539
329,0.1454965357967667
246,0.1454965357967667
169,0.1454965357967667
7,0.1501154734411085
288,0.1501154734411085
10,0.1501154734411085
73,0.1501154734411085
129,0.1524249422632794
234,0.1524249422632794
55,0.1547344110854502
118,0.1547344110854502
36,0.1547344110854502
111,0.1547344110854502
49,0.1570438799076212
200,0.1593533487297921
351,0.161662817551963
347,0.161662817551963
122,0.1639722863741339
304,0.1662817551963048
17,0.1662817551963048
225,0.1685912240184757
97,0.1685912240184757
346,0.1732101616628175
335,0.1732101616628175
341,0.1755196304849884
96,0.1755196304849884
262,0.1755196304849884
303,0.1778290993071593
70,0.1778290993071593
254,0.1778290993071593
285,0.1778290993071593
216,0.1778290993071593
27,0.1801385681293302
230,0.1801385681293302
35,0.1824480369515011
85,0.1824480369515011
297,0.1824480369515011
74,0.1824480369515011
34,0.184757505773672
196,0.1870669745958429
106,0.1893764434180138
293,0.1893764434180138
229,0.1893764434180138
296,0.1893764434180138
278,0.1916859122401847
232,0.1916859122401847
300,0.1916859122401847
33,0.1916859122401847
126,0.1939953810623556
259,0.1939953810623556
291,0.1939953810623556
90,0.1963048498845265
68,0.1963048498845265
193,0.1986143187066974
37,0.1986143187066974
88,0.1986143187066974
217,0.2009237875288683
222,0.2009237875288683
125,0.2032332563510392
45,0.2032332563510392
207,0.2032332563510392
327,0.2032332563510392
153,0.2032332563510392
342,0.2032332563510392
62,0.2055427251732101
95,0.2055427251732101
339,0.2055427251732101
345,0.2055427251732101
318,0.2055427251732101
134,0.207852193995381
221,0.207852193995381
163,0.207852193995381
333,0.207852193995381
87,0.2101616628175519
52,0.2101616628175519
64,0.2101616628175519
151,0.2124711316397228
310,0.2124711316397228
245,0.2124711316397228
99,0.2147806004618937
94,0.2147806004618937
28,0.2147806004618937
213,0.2147806004618937
215,0.2147806004618937
192,0.2147806004618937
15,0.2147806004618937
337,0.2147806004618937
66,0.2147806004618937
57,0.2170900692840646
116,0.2170900692840646
181,0.2193995381062355
294,0.2193995381062355
248,0.2193995381062355
199,0.2217090069284064
260,0.2217090069284064
40,0.2217090069284064
121,0.2217090069284064
240,0.2217090069284064
76,0.2240184757505773
140,0.2240184757505773
72,0.2240184757505773
79,0.2240184757505773
185,0.2263279445727483
18,0.2263279445727483
321,0.2263279445727483
301,0.2263279445727483
23,0.2263279445727483
249,0.2286374133949191
30,0.2286374133949191
202,0.2286374133949191
